2019-05-06 14:47:07,675 :  等待与PLC建立连接
2019-05-06 14:47:09,725 :  等待与PLC建立连接
2019-05-06 14:47:11,725 :  等待与PLC建立连接
2019-05-06 14:47:13,725 :  等待与PLC建立连接
2019-05-06 14:47:15,725 :  等待与PLC建立连接
2019-05-06 14:47:17,725 :  等待与PLC建立连接
2019-05-06 14:47:19,726 :  等待与PLC建立连接
2019-05-06 14:47:19,726 :  与PLC建立连接失败
2019-05-06 14:47:21,727 :  等待与PLC建立连接
2019-05-06 14:47:23,728 :  等待与PLC建立连接
2019-05-06 15:44:39,499 :  建立modbus从站
2019-05-06 15:44:39,500 :  成功创建从站
2019-05-06 15:44:39,500 :  创建寄存器空间，设置初始值
2019-05-06 15:44:39,503 :  等待与PLC建立连接
2019-05-06 15:44:39,504 :  连接扫码枪成功
2019-05-06 15:44:41,519 :  等待与PLC建立连接
2019-05-06 15:44:43,520 :  等待与PLC建立连接
2019-05-06 15:44:45,526 :  等待与PLC建立连接
2019-05-06 15:44:47,527 :  等待与PLC建立连接
